Company Name,Category,"(Utilities Only) 
Percentage generation fossil fuels","(Utilities Only) 
Investment in new fossil fuel infrastructure","(Utilities Only) 
Percentage revenue derived from fossil fuels"
Dutch Run Coal Co,Coal Mining,,,
Duwamish Cleanup Coal,Coal Mining,,,
Eagle Fuels Coal Sales,Coal Mining,,,
Eagle River Coal,Coal Mining,,,
Eagle River Coal LLC,Coal Mining,,,
Eaglehawk Carbon Inc,Coal Mining,,,
East Fairfield Coal,Coal Mining,,,
East River Coal Co,Coal Mining,,,
Eastern Associated Coal Co,Coal Mining,,,
Eastern Associated Coal Corporation,Coal Mining,,,
Eckhardt's Feed & Coal Co,Coal Mining,,,
Eclipse Collieries,Coal Mining,,,
Ed Coal,Coal Mining,,,
Efc-Kentucky May Coal Co,Coal Mining,,,
Electric Fuels Corp,Coal Mining,,,
Eler Consolidation Coal,Coal Mining,,,
Elkhorn-Hazard Coal Land,Coal Mining,,,
Elkhorn-Hazard Coal Land Corp,Coal Mining,,,
Elmo Greer & Sons,Coal Mining,,,
Emerald Coal,Coal Mining,,,
Emerald International,Coal Mining,,,
Employee Activity Fund,Coal Mining,,,
Energy Coal Resources,Coal Mining,,,
Enersystems Inc,Coal Mining,,,
Enviropower,Coal Mining,,,
Equitable,Coal Mining,,,
Equitable Resource Energy Co,Coal Mining,,,
Equitable Resources Energy Co,Coal Mining,,,
Evergreen Energy,Coal Mining,,,
Exxon Coal & Minerals,Coal Mining,,,
F&D Coal Sales,Coal Mining,,,
Falcon Coal Corp,Coal Mining,,,
Falkirk Coal Mine,Coal Mining,,,
Falkirk Mining,Coal Mining,,,
Falkirk Mining Co,Coal Mining,,,
Farrell Cooper Mining,Coal Mining,,,
Farrell-Cooper Mining Co,Coal Mining,,,
Federal Coal Co,Coal Mining,,,
Ferro Coals,Coal Mining,,,
Fieg Brothers Coal,Coal Mining,,,
Fieg Brothers Coal Co,Coal Mining,,,
Financial Coal Opperation,Coal Mining,,,
Fm Coal,Coal Mining,,,
Forcey Coal,Coal Mining,,,
Ford Coal,Coal Mining,,,
Ford Coal Co,Coal Mining,,,
Foresight Energy,Coal Mining,,,
Foresight Management,Coal Mining,,,
Foresight Reserves,Coal Mining,,,
Fossil Coal,Coal Mining,,,
Fossil Coal LLC,Coal Mining,,,
Foundation Coal,Coal Mining,,,
Four Rivers Coal,Coal Mining,,,
Fraleys Inc,Coal Mining,,,
Franklin County Reagan Coalition,Coal Mining,,,
Freeman United Coal,Coal Mining,,,
Freeman United Coal Mining,Coal Mining,,,
Freeman United Coal Mining Co,Coal Mining,,,
Friends For Coal,Coal Mining,,,
Friends of Coal,Coal Mining,,,
Friends of Coal PAC,Coal Mining,,,
Friends of Oklahoma Coal,Coal Mining,,,
